latitude,longitude,collision,distance_to_forest,forestHubName,distance_to_railway,railwayHubName,distance_to_water,waterHubName
7.475679009,79.86840815,0,2292.248285,596827089,5004.613388,674977485,2747.704137,4132
6.945883243,79.88444347,0,2510.587927,582020061,190.3129954,51193204,16007.31882,1937
6.931818463,79.86317387,0,2343.76356,582020061,511.1390077,99242193,728.2201829,34
6.930187491,79.88819382,0,986.2817384,582020061,642.1558708,50738688,1385.182206,55
6.914112295,79.88798507,0,996.2092217,578298184,750.1843091,349170726,120.9856654,926
6.928883534,79.84745476,0,3786.454184,578298184,368.3781511,483500733,523.6090382,66
6.929476043,79.8513352,0,3422.107027,578298184,565.0833164,483500733,792.9377719,66
6.876750751,81.04039001,0,386.2059113,482969336,599.0823159,581249920,946.6538273,5528
7.256888748,80.51380656,0,7586.355033,11750855,154.1585759,101855293,2968.154578,4236
7.256179919,80.57845384,0,745.7223408,926462276,474.9507403,356425847,550.0319261,8945
7.273674325,80.53789983,0,2599.160519,10909134,2319.369782,356425852,1604.595192,1690
7.263138163,80.54930942,0,1523.989845,10909134,981.5782073,356425852,276.6847061,1690
6.841771383,80.02159999,0,1362.702845,662833617,2296.933548,537840423,1868.121858,1705
6.922350928,80.13849207,0,4536.644766,875546525,1754.455744,369443277,12288.97403,1937
6.97515045,80.53497184,0,3487.69909,11800358,698.0551095,373187956,2551.443259,1147
7.007048703,80.52641902,0,2923.859702,11800358,4295.042244,373187956,2606.167562,14
7.020905346,80.53364909,0,4583.426231,11800358,1028.727459,373192834,926.6783034,14
6.983979222,80.52588985,0,2193.072921,11800358,1883.702128,373187956,5093.047233,14
7.158992203,80.55896106,0,1647.858956,7832571,417.0929159,101974188,3384.420633,25
7.130916789,80.56317322,0,3709.601002,7832571,583.382462,374523645,593.3653849,25
7.099997362,80.01113549,0,2688.156,432317954,814.9619521,98568323,293.5044428,1455
7.108074576,79.98435368,0,691.8539294,432317955,2187.209061,385221449,473.0294262,1987
7.062469649,79.96039238,0,3535.309787,385081784,2193.230195,50127293,702.8155667,1557
7.048008588,79.96744638,0,3450.149214,385081784,2553.520714,50127293,267.8504621,1606
7.068546577,79.97664029,0,1706.723007,385081784,676.2771111,385215399,677.2760164,731
7.822588027,80.2625875,0,1229.171294,1200633677,3633.187377,351922070,4296.78865,14469
7.172281097,80.03905434,0,4864.763458,929107579,2850.05738,48670711,2552.014902,2160
7.117226104,79.87853964,0,3682.26634,1341796702,1389.502449,27713217,1900.785281,1287
7.171957682,79.88387648,0,970.6390832,1222953305,3611.712997,198188369,399.3218393,13299
7.133172911,79.90668356,0,2545.590787,421140875,3430.781765,400558143,2298.714374,1287
7.064733182,79.87024041,0,4974.345965,1341796702,4214.821384,228885218,2386.274422,38
7.07449034,79.87076993,0,4106.466087,1341796702,4592.944565,228885218,3413.881647,38
7.051241511,79.90742063,0,5101.591614,315357303,280.8432997,228885218,1912.168995,1435
7.038107599,79.90740349,0,6504.196851,315357303,1724.996687,228885218,3346.750718,1435
7.953670329,79.82713578,0,4199.352313,1223256147,286.8272088,529041701,6252.794247,15853
7.980762544,79.88460422,0,1024.15697,1458235596,3967.104105,401412653,5783.363174,5280
